scenario,sim_time,day_time,job_id,source,event_type,technician,station,remaining_time,outcome,wait_time,turnaround_time,service_time,generated_at
base run,783.5,Day 32 - Friday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,160.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,847.0,Day 35 - Monday 07:00,RMA-26,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,855.5,Day 35 - Monday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,151.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,871.0,Day 36 - Tuesday 07:00,RMA-27,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,879.5,Day 36 - Tuesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,143.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,895.0,Day 37 - Wednesday 07:00,RMA-28,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,903.5,Day 37 - Wednesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,134.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,927.5,Day 38 - Thursday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,126.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,951.5,Day 39 - Friday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,117.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,1023.5,Day 42 - Monday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,109.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,1047.5,Day 43 - Tuesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,100.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,1071.5,Day 44 - Wednesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,92.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,1095.5,Day 45 - Thursday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,83.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,1119.5,Day 46 - Friday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,75.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,1191.5,Day 49 - Monday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,66.58583593498435,,,,,2026-07-16T19:34:27.108097
